Time,All groups CPI annual movement (%) (%),Food & non-alcoholic beverages (Percentage points),Alcohol & tobacco (Percentage points),Housing (Percentage points),Transport (Percentage points),Recreation & culture (Percentage points),Health and Education (Percentage points),Other (a) (Percentage points)
Apr-25,2.4,0.5533,0.3796,0.4629,-0.3771,0.4188,0.5461,0.3889
May-25,2.1,0.4978,0.3942,0.4091,-0.2695,0.1597,0.5251,0.387
Jun-25,1.9,0.5967,0.3786,0.3346,-0.2424,-0.1207,0.5201,0.4213
Jul-25,3,0.5372,0.4294,0.7999,-0.0403,0.3,0.5232,0.4071
Aug-25,3.2,0.5211,0.4029,0.9699,0.1048,0.1659,0.532,0.4749
Sep-25,3.6,0.5583,0.3636,1.2171,0.2528,0.2234,0.5362,0.4345
Oct-25,3.8,0.561,0.2919,1.2485,0.3041,0.3926,0.5277,0.4928
Nov-25,3.4,0.5754,0.2787,1.12,0.3006,0.2399,0.4981,0.4331
Dec-25,3.8,0.5979,0.3169,1.1729,0.1853,0.5731,0.49,0.4269
Jan-26,3.8,0.5442,0.3281,1.4572,0.1252,0.4639,0.4722,0.4501
Feb-26,3.7,0.5422,0.2829,1.5497,-0.0215,0.5047,0.4534,0.4226
Mar-26,4.6,0.5444,0.2934,1.4064,1.0216,0.3502,0.4416,0.5213
,,,,,,,,
" a. 'Other' includes Clothing and footwear, Furnishings, household equipment and services, Communication and Insurance and financial services",,,,,,,,
,,,,,,,,
" Source: Australian Bureau of Statistics, Consumer Price Index, Australia March 2026",,,,,,,,
