Age Group,Year,Homelessness Rate per 10k
Under 12 years,2006,50.5
Under 12 years,2011,53.6
Under 12 years,2016,44.8
Under 12 years,2021,47.9
12-18,2006,51.1
12-18,2011,54.9
12-18,2016,51
12-18,2021,53.3
19-24,2006,75.4
19-24,2011,83.2
19-24,2016,95.3
19-24,2021,90.6
25-34,2006,59.2
25-34,2011,62.1
25-34,2016,71.9
25-34,2021,70.4
35-44,2006,44.9
35-44,2011,46.5
35-44,2016,50.1
35-44,2021,49
45-54,2006,38.3
45-54,2011,41.5
45-54,2016,46
45-54,2021,45.2
55-64,2006,31.7
55-64,2011,33.9
55-64,2016,38.8
55-64,2021,36.3
65-74,2006,25.9
65-74,2011,25.2
65-74,2016,27.2
65-74,2021,24.8
75 years and over,2006,15.3
75 years and over,2011,14.5
75 years and over,2016,14.3
75 years and over,2021,12.2
All persons,2006,45.2
All persons,2011,47.6
All persons,2016,49.8
All persons,2021,48.2
