State,Quarter,Mean Price ($000)
NSW,Jun-25,1280.2
NSW,Sep-25,1285.2
NSW,Dec-25,1301.1
VIC,Jun-25,918.2
VIC,Sep-25,923.9
VIC,Dec-25,933.1
QLD,Jun-25,979.8
QLD,Sep-25,1017.2
QLD,Dec-25,1066
SA,Jun-25,867.4
SA,Sep-25,897.3
SA,Dec-25,938.1
WA,Jun-25,914.5
WA,Sep-25,943.7
WA,Dec-25,1014.2
TAS,Jun-25,673.6
TAS,Sep-25,680.5
TAS,Dec-25,703.8
NT,Jun-25,535.7
NT,Sep-25,555.6
NT,Dec-25,580
ACT,Jun-25,953.3
ACT,Sep-25,953.5
ACT,Dec-25,973.8
Australia,Jun-25,1029.9
Australia,Sep-25,1046
Australia,Dec-25,1074.7
