Employee Type,Gender,Date,Weekly Earnings
Regular,Males,2025,1600
Regular,Males,2024,1578
Regular,Males,2020,1300
Regular,Females,2025,1250
Regular,Females,2024,1200
Regular,Females,2020,1000
Regular,Persons,2025,1425
Regular,Persons,2024,1399
Regular,Persons,2020,1150
Full-time,Males,2025,1841
Full-time,Males,2024,1790
Full-time,Males,2020,1500
Full-time,Females,2025,1631
Full-time,Females,2024,1598
Full-time,Females,2020,1342
Full-time,Persons,2025,1741
Full-time,Persons,2024,1700
Full-time,Persons,2020,1435
