Year,Arrivals (000),Departures (000),Net Migration (000)
2nd Quarter 2015,465.25,281.22,184.03
3rd Quarter 2015,469.39,285.16,184.23
4th Quarter 2015,473.25,286.52,186.73
1st Quarter 2016,481.33,285.35,195.98
2nd Quarter 2016,489.28,283.04,206.23
3rd Quarter 2016,507.11,277.6,229.51
4th Quarter 2016,519.65,275.82,243.83
1st Quarter 2017,536.66,277.08,259.59
2nd Quarter 2017,540.15,276.8,263.35
3rd Quarter 2017,540.06,280.64,259.43
4th Quarter 2017,531.37,289.71,241.66
1st Quarter 2018,527.23,289.23,238
2nd Quarter 2018,527.52,289.3,238.22
3rd Quarter 2018,530.94,288.62,242.32
4th Quarter 2018,534.4,282.18,252.22
1st Quarter 2019,536.6,285.93,250.67
2nd Quarter 2019,550.4,309.06,241.34
3rd Quarter 2019,566.35,324.32,242.04
4th Quarter 2019,607.87,360.25,247.62
1st Quarter 2020,618.36,379.11,239.25
2nd Quarter 2020,506.85,314.16,192.7
3rd Quarter 2020,361.95,286.34,75.61
4th Quarter 2020,235.35,240.32,-4.97
1st Quarter 2021,113,207.34,-94.34
2nd Quarter 2021,146,230.93,-84.94
3rd Quarter 2021,161.23,216.61,-55.38
4th Quarter 2021,214.41,205.1,9.3
1st Quarter 2022,334.05,203.03,131.02
2nd Quarter 2022,423.91,216,207.91
3rd Quarter 2022,569.28,220.65,348.63
4th Quarter 2022,651.35,213.5,437.86
1st Quarter 2023,704.98,209.15,495.83
2nd Quarter 2023,738.41,200.07,538.34
3rd Quarter 2023,755.44,199.64,555.8
4th Quarter 2023,739.03,208.41,530.62
1st Quarter 2024,709.8,215.98,493.82
2nd Quarter 2024,661.36,232.2,429.16
3rd Quarter 2024,615.33,250.51,364.82
4th Quarter 2024,593.54,263.61,329.94
1st Quarter 2025,578.71,267.44,311.27
2nd Quarter 2025,568.37,262.8,305.57
